@relation action3

@attribute need1 numeric
@attribute need2 numeric
@attribute need3 numeric
@attribute happiness numeric
@attribute day numeric
@attribute hour numeric
@attribute reward numeric

@data
12,10,8,0,0,2,40
10,12,10,0,0,4,40
11,13,11,0,0,7,40
12,14,12,0,0,10,40
13,15,13,0,0,13,40
14,16,14,0,0,16,40
15,17,15,0,0,19,40
16,18,16,0,0,22,40
17,19,17,0,1,1,40
18,20,18,0,1,4,40
19,21,19,0,1,7,40
19,21,19,10,1,11,40
20,22,20,10,1,14,40
20,22,20,20,1,18,40
20,22,20,30,1,22,40
12,12,9,0,0,3,30
13,13,10,0,0,6,30
14,14,11,0,0,9,30
15,15,12,0,0,12,30
16,16,13,0,0,15,30
17,17,14,0,0,18,30
18,18,15,0,0,21,30
19,19,16,0,1,0,30
17,21,18,0,1,2,30
18,22,19,0,1,5,30
19,23,20,0,1,8,30
20,24,21,0,1,11,30
20,24,21,10,1,15,30
20,24,21,20,1,19,30
21,25,22,20,1,22,30
9,8,6,0,0,2,60
10,9,7,0,0,5,60
11,10,8,0,0,8,60
12,11,9,0,0,11,60
13,12,10,0,0,14,60
14,13,11,0,0,17,60
15,14,12,0,0,20,60
16,15,13,0,0,23,60
13,16,14,10,1,2,60
13,16,14,20,1,6,60
14,17,15,20,1,9,60
14,17,15,30,1,13,60
14,17,15,40,1,17,60
15,18,16,40,1,20,60
7,10,5,0,0,1,50
9,8,7,0,0,3,50
10,9,8,0,0,6,50
11,10,9,0,0,9,50
12,11,10,0,0,12,50
13,12,11,0,0,15,50
14,13,12,0,0,18,50
15,14,13,0,0,21,50
16,15,14,0,1,0,50
16,15,14,10,1,4,50
16,15,14,20,1,8,50
17,16,15,20,1,11,50
17,16,15,30,1,15,50
17,16,15,40,1,19,50
18,17,16,40,1,22,50
10,9,7,0,0,2,50
11,10,8,0,0,5,50
12,11,9,0,0,8,50
13,12,10,0,0,11,50
14,13,11,0,0,14,50
15,14,12,0,0,17,50
16,15,13,0,0,20,50
17,16,14,0,0,23,50
15,18,16,0,1,1,50
15,18,16,10,1,5,50
16,19,17,10,1,8,50
16,19,17,20,1,12,50
16,19,17,30,1,16,50
16,19,17,40,1,20,50
17,20,18,40,1,23,50
7,7,7,0,0,2,60
